date,score
2012-01-03 21:28:25,"[-2.7439, -2.6587, -1.1333, 1.7778, 3.7505]"
2012-01-06 17:28:01,"[-1.0884, -1.0423, -0.407, 0.5875, 1.4997]"
2012-01-06 17:30:01,"[-0.1681, 0.1571, 0.0231, 0.0284, -0.2413]"
2012-01-06 20:09:40,"[0.0721, -0.4089, -0.0633, 0.0205, 0.515]"
2012-01-11 02:36:39,"[-0.8372, -0.3119, 0.2549, 0.6602, 0.1448]"
2012-01-12 02:47:48,"[-0.02, 0.1699, -0.256, -0.1814, 0.2936]"
2012-01-12 21:07:59,"[-1.0641, -1.4134, -0.4896, 0.7399, 1.8045]"
2012-01-12 23:07:42,"[-0.2373, -0.4792, -0.2091, 0.1097, 0.531]"
2012-01-13 05:49:17,"[-0.6618, -0.8653, -0.6859, 0.3547, 1.3438]"
2012-01-14 20:27:41,"[-0.3669, -0.7058, -0.5514, 0.3125, 0.9153]"
2012-01-14 20:29:34,"[1.1793, 0.668, 0.2367, -0.6681, -1.2151]"
2012-01-17 17:44:57,"[1.9208, 1.714, 0.9248, -1.2619, -2.6046]"
2012-01-17 17:47:19,"[-1.3678, -0.3585, 0.2739, 0.5532, 0.5215]"
2012-01-17 22:07:50,"[1.1022, 1.1058, 0.4796, -0.7561, -1.5291]"
2012-01-18 01:54:53,"[0.263, 0.7239, 0.4421, -0.28, -1.0171]"
2012-01-22 00:44:23,"[1.1079, 0.4045, 0.128, -0.5219, -0.9122]"
2012-01-23 01:42:54,"[-1.6409, -0.2285, 0.9378, 0.852, -0.1558]"
2012-01-24 03:04:49,"[-0.5752, -1.4704, -1.0465, 0.1418, 2.5495]"
2012-01-24 04:03:10,"[0.3291, 0.9714, 0.7268, -0.3321, -1.4627]"
2012-01-24 04:16:39,"[-0.3851, -0.1476, 0.1968, 0.3466, -0.1386]"
2012-01-27 20:35:04,"[-1.9605, -1.9316, -0.4104, 1.4797, 2.224]"
2012-01-28 02:21:03,"[1.9032, 1.2743, 0.6986, -0.9533, -2.2948]"
2012-01-28 19:54:40,"[1.285, 0.9268, 0.3171, -0.9412, -1.2616]"
2012-01-31 16:49:58,"[0.6789, 1.3047, 1.0165, -0.5797, -2.0299]"
2012-02-01 09:12:24,"[-1.5779, 0.1463, 1.5485, 1.0685, -1.0318]"
2012-02-01 16:03:05,"[-1.2751, -1.1002, -0.3036, 0.954, 1.3414]"
2012-02-02 17:00:34,"[-0.6935, -0.8472, -0.3417, 0.5493, 0.9583]"
2012-02-04 02:28:24,"[0.3329, 0.3667, 0.5447, 0.0021, -1.0805]"
2012-02-04 20:42:54,"[-0.3964, -0.7547, -0.2894, 0.3308, 0.74]"
2012-02-05 20:07:16,"[0.5766, -0.1425, -0.0458, -0.1772, -0.1585]"
2012-02-06 01:33:43,"[-0.3306, -0.5317, 0.0594, 0.4848, 0.2195]"
2012-02-06 01:44:18,"[-0.4826, 0.6009, 0.598, 0.1749, -0.8882]"
2012-02-07 07:13:16,"[-0.7939, -0.7763, -0.2132, 0.5311, 0.9192]"
2012-02-08 04:35:43,"[0.2554, -0.02, 0.2662, -0.0318, -0.3868]"
2012-02-08 04:40:20,"[1.7078, 1.25, 0.3341, -0.9823, -1.9028]"
2012-02-08 19:13:44,"[0.1883, 0.2263, 0.1296, -0.058, -0.2433]"
2012-02-09 16:37:45,"[-0.4894, -0.5475, -0.1206, 0.4408, 0.5314]"
2012-02-09 20:00:42,"[-1.0994, -0.6344, 0.0547, 0.6369, 0.6425]"
2012-02-10 16:51:47,"[-1.8566, -1.6027, -0.3326, 1.3277, 1.7647]"
2012-02-10 17:23:17,"[-0.3625, -0.7008, -0.0505, 0.4187, 0.5904]"
2012-02-10 19:38:00,"[0.8836, -0.3378, -0.4492, -0.4837, 0.4858]"
2012-02-10 19:54:59,"[0.52, 0.9241, 0.7246, -0.3584, -1.5044]"
2012-02-12 20:37:52,"[-0.2246, -0.5882, -0.1768, 0.2583, 0.5624]"
2012-02-14 01:32:06,"[-1.2752, -0.65, 0.4587, 0.9033, 0.3461]"
2012-02-17 00:51:21,"[0.1123, 0.099, 0.315, 0.1925, -0.4736]"
2012-02-21 16:27:16,"[-0.0765, -0.7655, -0.4504, 0.2356, 0.9189]"
2012-02-22 00:57:28,"[0.4895, -0.1926, -0.1514, -0.0401, -0.0483]"
2012-02-25 18:36:12,"[-2.1006, -1.7127, 0.1593, 1.8223, 1.3229]"
2012-02-25 22:04:41,"[-0.3631, -0.5098, -0.2147, 0.4009, 0.5864]"
2012-02-25 22:17:04,"[1.0749, 0.4317, 0.1356, -0.5536, -0.9692]"
2012-02-28 22:25:50,"[0.1058, -0.083, -0.1011, -0.018, -0.0074]"
2012-02-29 07:02:03,"[-0.9225, -0.8578, -0.27, 0.6575, 1.0155]"
2012-03-02 00:29:56,"[-0.0982, -0.5355, -0.0818, 0.2237, 0.4955]"
2012-03-07 01:52:14,"[-0.0434, -0.5445, -0.2372, 0.1228, 0.4961]"
2012-03-11 15:31:43,"[0.276, 0.1938, 0.1841, -0.1287, -0.5421]"
2012-03-11 16:21:59,"[0.6105, 0.4597, 0.1393, -0.5645, -0.6198]"
2012-03-12 06:45:14,"[0.7818, -0.1029, -0.4549, -0.2548, -0.0391]"
2012-03-13 07:27:14,"[-0.4288, -0.1087, 0.5104, 0.3209, -0.3641]"
2012-03-14 23:06:03,"[0.2277, -0.2154, -0.1633, -0.013, 0.0858]"
2012-03-15 01:36:58,"[-0.7565, -0.9375, -0.6104, 0.5434, 1.4351]"
2012-03-15 09:37:28,"[-2.4408, -2.0454, 0.0619, 1.9875, 1.8753]"
2012-03-20 21:05:26,"[0.0075, -0.5173, -0.3707, 0.2786, 0.4327]"
2012-03-22 07:10:10,"[-1.6175, -1.0137, 0.6821, 1.4796, 0.3195]"
2012-03-28 00:32:07,"[-0.5236, -0.915, -0.6577, 0.3347, 1.35]"
2012-03-31 16:42:30,"[-1.8892, -2.0799, -0.3897, 1.4172, 2.2785]"
2012-03-31 17:43:06,"[0.104, -0.2609, 0.0103, 0.1418, -0.0778]"
2012-04-01 18:44:24,"[0.0689, -0.7184, -0.1919, 0.1939, 0.6422]"
2012-04-03 08:45:18,"[-1.2214, -0.5351, 0.2171, 0.7175, 0.4457]"
2012-04-03 09:16:42,"[0.6782, 0.8677, 0.5812, -0.3577, -1.5352]"
2012-04-04 01:58:25,"[0.9091, 0.7028, 0.2578, -0.623, -1.1588]"
2012-04-05 17:21:45,"[1.7768, 0.4747, 0.0875, -0.7009, -1.0882]"
2012-04-05 23:35:14,"[0.4717, -0.6835, -0.8529, -0.2259, 1.0839]"
2012-04-09 02:01:15,"[-0.5371, -0.686, -0.1318, 0.5579, 0.5143]"
2012-04-09 02:04:53,"[-2.8482, -2.4326, -0.4474, 1.9644, 2.8318]"
2012-04-09 19:50:03,"[1.1944, 0.4035, -0.1156, -0.7586, -0.6105]"
2012-04-11 00:20:22,"[-2.3555, -2.3583, -0.8154, 1.6536, 2.9521]"
2012-04-14 22:52:27,"[-2.3595, -2.1754, -0.2938, 1.8622, 2.3614]"
2012-04-18 19:48:14,"[-0.1793, 0.1035, 0.219, 0.1047, -0.342]"
2012-04-19 20:39:12,"[0.6726, -0.0341, 0.0452, -0.2403, -0.4158]"
2012-04-19 20:47:21,"[-0.876, 0.613, 1.3693, 0.4702, -1.4297]"
2012-04-21 08:28:51,"[-0.9428, -0.6019, 0.1269, 0.5588, 0.6543]"
2012-04-22 00:14:01,"[-2.3874, -2.388, -0.6442, 1.8067, 2.8388]"
2012-04-23 04:02:38,"[-0.1673, 0.4264, 0.3367, 0.0274, -0.7241]"
2012-04-23 20:55:21,"[1.3347, 0.7263, 0.1249, -0.7076, -1.2287]"
2012-04-24 20:17:02,"[0.3833, -0.242, -0.0932, -0.0925, 0.015]"
2012-04-30 15:30:50,"[-0.0599, -0.4112, -0.2798, 0.2318, 0.4184]"
2012-04-30 19:45:25,"[2.6017, 1.316, 0.2579, -1.3225, -2.2114]"
2012-04-30 20:10:22,"[0.809, 0.1383, -0.0655, -0.4641, -0.4407]"
2012-04-30 20:22:34,"[-1.7704, -1.7544, -0.4417, 1.3493, 2.0878]"
2012-05-03 18:15:01,"[-0.4792, -0.5229, -0.0093, 0.5631, 0.3807]"
2012-05-03 18:22:41,"[-1.7374, -1.1569, 0.1817, 1.2602, 1.0068]"
2012-05-03 18:27:19,"[-1.8245, -1.6056, -0.4919, 1.2226, 1.9744]"
2012-05-05 00:59:37,"[-2.1553, -1.3204, 0.4839, 1.8805, 0.8143]"
2012-05-05 01:05:36,"[-1.2361, -1.1796, -0.0518, 0.9246, 1.0989]"
2012-05-08 05:45:09,"[-0.8613, -0.9482, -0.4236, 0.5745, 1.0667]"
2012-05-09 23:54:36,"[-0.1853, -0.5337, -0.3575, 0.1821, 0.7541]"
2012-05-10 16:24:47,"[-1.1065, -0.7819, -0.0168, 0.7701, 0.7683]"
2012-05-11 00:47:27,"[-1.1092, -0.8366, -0.175, 0.8696, 0.9278]"
2012-05-11 00:55:26,"[-2.9284, -2.3507, 0.299, 2.2851, 2.149]"
2012-05-11 00:58:31,"[-2.241, -1.8953, -0.3748, 1.5627, 2.2099]"
2012-05-14 02:07:17,"[0.5231, 0.0158, -0.3454, -0.4291, 0.1758]"
2012-05-19 08:15:48,"[-0.304, -0.4713, -0.1817, 0.1173, 0.5223]"
2012-05-19 09:06:31,"[1.0815, 1.5116, 0.8855, -0.6253, -2.4079]"
2012-05-20 23:13:34,"[0.0131, 1.4379, 1.7167, -0.1742, -2.5541]"
2012-05-20 23:44:11,"[-0.5173, -0.3111, 0.3338, 0.4333, -0.0449]"
2012-05-22 03:05:10,"[-1.5603, -1.6022, -0.8575, 1.0583, 2.4104]"
2012-05-22 07:34:32,"[1.6336, 0.7316, 0.1347, -0.9342, -1.3136]"
2012-05-22 07:43:41,"[2.1539, 0.8159, -0.247, -1.1926, -1.2782]"
2012-05-22 08:04:05,"[-1.6845, -1.9546, -1.4261, 0.9853, 3.2721]"
2012-05-22 08:52:56,"[-1.5441, -1.5927, -0.8842, 1.0736, 2.1938]"
2012-05-22 08:56:05,"[-2.4797, -2.5318, -0.5538, 1.7558, 2.9493]"
2012-05-22 10:31:20,"[-1.7877, -1.7804, -0.8093, 1.3007, 2.3376]"
2012-05-22 10:38:25,"[0.1837, -0.1453, -0.162, 0.0186, -0.0968]"
2012-05-22 12:27:20,"[0.2835, -0.4346, -0.301, 0.1141, 0.3286]"
2012-05-23 15:09:40,"[0.7301, 0.0515, -0.0852, -0.2376, -0.4587]"
2012-05-24 03:35:55,"[0.6634, 0.0682, -0.2296, -0.1848, -0.2994]"
2012-05-24 06:23:53,"[-0.8893, -0.6301, -0.008, 0.6645, 0.5581]"
2012-05-24 17:34:28,"[-1.5066, -0.9848, 0.2463, 1.1275, 0.8017]"
2012-05-24 18:15:19,"[-0.4133, -0.348, 0.0033, 0.4002, 0.2176]"
2012-05-25 15:41:31,"[-1.6778, -2.1158, -0.7864, 1.0708, 2.8385]"
2012-05-25 20:23:00,"[-0.5984, -0.4502, 0.2043, 0.5663, 0.1808]"
2012-05-31 14:21:33,"[1.0488, 0.3911, -0.2688, -0.4929, -0.6765]"
2012-05-31 14:31:25,"[-0.341, -0.1842, 0.0947, 0.2248, 0.0434]"
2012-05-31 15:48:16,"[-1.4346, -1.7148, -0.7128, 1.2439, 2.0758]"
2012-05-31 21:09:28,"[0.1055, -0.0743, 0.1663, 0.14, -0.3553]"
2012-06-05 17:16:33,"[-0.152, -0.2412, 0.2135, 0.3512, -0.084]"
2012-06-14 07:26:23,"[-0.4883, -0.5894, -0.0199, 0.5545, 0.5043]"
2012-06-14 07:54:02,"[-2.2655, -1.6122, -0.1117, 1.6953, 1.6966]"
2012-06-16 14:47:12,"[0.7639, 0.2843, -0.2709, -0.5909, -0.1957]"
2012-06-18 08:31:06,"[-0.3954, -0.621, -0.1595, 0.4582, 0.6637]"
2012-06-18 21:27:46,"[1.0704, 0.0056, -0.5898, -0.6019, 0.0664]"
2012-06-20 16:16:50,"[-1.6823, -1.2316, -0.0943, 1.2651, 1.2634]"
2012-06-22 22:16:33,"[-0.2665, -0.4753, -0.3874, 0.2088, 0.5123]"
2012-06-22 22:18:45,"[-0.5787, -0.6098, 0.1395, 0.5308, 0.4586]"
2012-06-27 13:31:37,"[0.9721, 0.469, -0.1118, -0.5075, -0.653]"
2012-06-27 13:33:51,"[-0.3526, -0.4883, 0.2081, 0.3231, 0.106]"
2012-06-27 14:43:04,"[-1.3082, -1.4028, -0.1942, 0.9052, 1.7248]"
2012-06-28 14:59:35,"[0.0967, -0.3999, -0.0341, 0.1505, 0.2581]"
2012-06-30 02:45:18,"[-1.5604, -1.331, 0.0257, 1.2316, 1.3637]"
2012-07-01 03:08:36,"[-0.2059, -0.4003, -0.0862, 0.4025, 0.1585]"
2012-07-01 03:27:27,"[-0.9171, -0.27, 0.0729, 0.4938, 0.2874]"
2012-07-05 07:41:16,"[-2.3719, -2.6429, -1.5694, 1.1513, 4.2643]"
2012-07-05 10:19:25,"[-0.4142, -0.6481, -0.1739, 0.4257, 0.6835]"
2012-07-07 07:17:10,"[-1.0395, -0.8858, -0.5608, 0.595, 1.3469]"
2012-07-12 14:50:49,"[-0.3244, -0.9784, -0.8907, 0.1624, 1.5638]"
2012-07-12 14:57:32,"[-0.5428, -0.3844, -0.1194, 0.3087, 0.4787]"
2012-07-14 05:01:46,"[1.2461, 0.4537, -0.0863, -0.55, -0.8574]"
2012-07-15 07:30:06,"[-1.0427, 0.1308, 0.5711, 0.4675, -0.1918]"
2012-07-15 07:34:14,"[1.4316, 1.1113, 0.4068, -0.803, -1.7951]"
2012-07-17 11:16:22,"[-0.5574, -1.1687, -0.6772, 0.0843, 2.1303]"
2012-07-21 15:40:07,"[-0.8767, -0.9221, -0.3389, 0.7838, 1.0379]"
2012-07-21 16:27:01,"[0.1912, 0.3401, 0.3041, -0.05, -0.774]"
2012-07-21 17:09:04,"[-2.0749, -1.8091, -0.284, 1.5532, 1.9706]"
2012-07-23 06:39:10,"[1.1387, 0.9348, 0.0394, -0.6428, -1.1196]"
2012-07-23 06:48:09,"[1.0774, 0.6664, 0.2507, -0.5755, -1.1366]"
2012-07-27 01:13:28,"[0.6502, 0.4474, 0.0835, -0.3585, -0.7241]"
2012-07-27 02:26:31,"[-2.5931, -1.0142, 0.7657, 1.5796, 0.8939]"
2012-07-27 03:15:29,"[2.2533, 1.7854, 0.5141, -1.4657, -2.4485]"
2012-07-27 03:33:35,"[-0.3713, -0.4606, -0.0314, 0.169, 0.5195]"
2012-07-27 03:38:47,"[-1.0913, -1.4083, -0.8424, 0.6208, 2.1184]"
2012-07-27 17:47:44,"[-0.2081, -0.8095, -0.5663, 0.2385, 1.0724]"
2012-07-27 20:40:28,"[-1.9085, -1.9933, -0.3402, 1.3938, 2.368]"
2012-07-31 03:19:34,"[-1.1352, -0.8063, 0.1297, 0.9428, 0.6778]"
2012-07-31 21:57:37,"[-2.6312, -1.8718, 0.1125, 1.8344, 1.918]"
2012-07-31 22:05:26,"[0.9603, 0.9636, 0.6153, -0.6252, -1.5656]"
2012-08-01 02:12:24,"[-1.6404, -0.8428, 0.9969, 1.4553, 0.0035]"
2012-08-01 02:17:45,"[-0.7173, 0.069, 0.4107, 0.3969, -0.3327]"
2012-08-01 02:30:53,"[-0.55, -0.3206, 0.2369, 0.5749, 0.0351]"
2012-08-01 02:32:59,"[1.2359, 1.7352, 1.2028, -0.8709, -2.677]"
2012-08-01 02:54:50,"[-0.4838, -0.4566, 0.0399, 0.4733, 0.237]"
2012-08-01 03:37:27,"[1.7379, 1.9557, 0.9561, -1.3752, -2.6054]"
2012-08-03 02:11:15,"[-0.1968, -0.6332, -0.8696, 0.0888, 1.3948]"
2012-08-03 17:38:43,"[-0.5651, -0.0642, 0.4763, 0.371, -0.2245]"
2012-08-03 22:32:27,"[-2.764, -2.3023, -0.5943, 1.8648, 2.8848]"
2012-08-04 00:23:11,"[-0.1874, -0.1296, 0.5311, 0.1718, -0.3168]"
2012-08-13 21:47:27,"[0.3297, 0.5069, 0.1787, -0.1739, -0.8828]"
2012-08-22 16:11:24,"[-2.1724, -2.221, -0.7159, 1.5274, 2.797]"
2012-08-22 16:14:31,"[-2.1606, -1.7374, 0.0487, 1.604, 1.7492]"
2012-08-25 20:39:03,"[-2.2964, -2.4093, -0.8835, 1.7332, 3.1489]"
2012-08-27 19:39:47,"[-1.3097, -1.4985, -0.766, 0.7505, 2.343]"
2012-08-27 19:41:50,"[-0.3604, -0.2605, 0.0267, 0.3609, 0.0297]"
2012-08-27 19:51:07,"[0.693, 0.4884, 0.1851, -0.3938, -0.9167]"
2012-08-29 01:23:09,"[-2.0644, -2.3415, -1.1992, 1.2091, 3.4084]"
2012-08-29 20:30:20,"[-0.9646, -0.9958, 0.3241, 0.8845, 0.6387]"
2012-09-06 20:00:47,"[-0.4017, -0.8402, -0.4241, 0.4529, 0.8935]"
2012-09-13 20:58:05,"[-2.002, -2.2371, -0.9555, 1.3119, 3.1737]"
2012-09-14 01:27:09,"[-0.4994, -0.6686, -0.0636, 0.5775, 0.3507]"
2012-09-17 01:40:23,"[-1.2183, -1.8268, -0.9596, 0.9089, 2.5069]"
2012-09-19 23:31:27,"[0.5694, -0.0157, -0.3733, -0.2583, 0.0201]"
2012-09-22 00:36:50,"[-0.7944, -1.2224, -0.6655, 0.7495, 1.5814]"
2012-09-24 17:53:03,"[1.1391, 0.2027, -0.1861, -0.4381, -0.6036]"
2012-09-25 04:34:04,"[-0.937, -0.9419, -0.2222, 0.6582, 1.0189]"
2012-09-30 22:01:54,"[-1.0839, -1.0578, -0.488, 0.7327, 1.5715]"
2012-10-01 17:50:08,"[-0.3685, -0.4526, 0.1031, 0.4319, 0.1937]"
2012-10-01 20:39:28,"[-0.2208, -0.3887, 0.1309, 0.3505, 0.2137]"
2012-10-02 23:49:35,"[-0.2196, -1.0822, -0.6103, 0.4472, 1.2118]"
2012-10-03 00:29:28,"[1.574, 0.7383, 0.1467, -0.9634, -1.245]"
2012-10-04 02:31:38,"[-0.3095, -0.5485, -0.0008, 0.4594, 0.2689]"
2012-10-07 20:45:44,"[3.0593, 1.7456, 0.2311, -1.7947, -2.5504]"
2012-10-08 00:50:33,"[-1.3266, -1.541, -0.6923, 1.0457, 1.9536]"
2012-10-11 22:59:26,"[-0.6301, -0.2757, 0.0436, 0.539, 0.1548]"
2012-10-22 20:19:24,"[0.3182, -0.2168, -0.0425, 0.0044, -0.0353]"
2012-10-28 01:31:22,"[-1.0622, -1.3342, -0.746, 0.8191, 1.7977]"
2012-10-28 01:53:32,"[-0.8085, -0.9441, -0.2963, 0.6741, 1.0337]"
2012-10-28 02:04:08,"[-0.8153, -0.2561, 0.4202, 0.4388, 0.0465]"
2012-10-28 17:25:15,"[-1.4626, -1.6427, -0.744, 0.9783, 2.347]"
2012-10-28 17:38:24,"[0.1043, 1.0456, 0.9909, -0.33, -1.6346]"
2012-11-03 20:42:22,"[-0.7674, -0.7331, -0.2935, 0.7936, 0.8175]"
2012-11-03 20:51:36,"[-1.9807, -1.4677, -0.08, 1.3038, 1.689]"
2012-11-06 06:52:11,"[-1.9643, -1.5417, 0.5236, 1.7228, 1.0482]"
2012-11-07 21:46:38,"[-0.4693, -0.3778, 0.3446, 0.5519, -0.0784]"
2012-11-12 08:39:13,"[-1.134, -1.5274, -0.2695, 0.7007, 1.8635]"
2012-11-13 04:33:57,"[-1.998, -1.7651, 0.0059, 1.6651, 1.6217]"
2012-11-16 01:25:08,"[-0.0731, -0.076, 0.1534, 0.1543, -0.2374]"
2012-11-16 02:02:33,"[-0.0044, -0.4918, 0.0324, 0.2419, 0.2589]"
2012-11-19 06:59:46,"[-1.4556, -1.0335, -0.2337, 0.8181, 1.3149]"
2012-11-20 06:30:44,"[1.3654, 0.9606, 0.4581, -0.7954, -1.5825]"
2012-11-20 06:38:31,"[-0.5369, -0.9112, -0.1381, 0.5303, 0.7693]"
2012-11-20 06:52:03,"[0.1314, 0.6309, 0.7444, 0.0035, -1.2574]"
2012-11-20 19:22:29,"[1.6208, 0.457, -0.3716, -0.836, -0.6008]"
2012-11-20 19:32:50,"[1.6527, 0.9498, 0.166, -1.0325, -1.3817]"
2012-11-21 03:01:08,"[-2.1911, -2.2084, -0.5957, 1.4606, 2.7583]"
2012-11-21 05:14:07,"[-1.2316, -1.6898, -0.6429, 0.8227, 2.1901]"
2012-11-22 15:55:04,"[-0.8245, -0.8375, 0.0036, 0.8271, 0.5939]"
2012-11-22 16:32:13,"[0.0149, -0.0349, 0.2245, 0.0855, -0.262]"
2012-11-23 03:16:03,"[-1.712, -1.3743, 0.0052, 1.2707, 1.4601]"
2012-11-23 19:45:06,"[-1.2143, -0.4345, 0.5431, 0.717, 0.2072]"
2012-11-24 00:07:43,"[-0.9013, -1.4705, -1.0429, 0.6806, 2.1812]"
2012-11-25 01:53:51,"[-0.3791, 0.2108, 0.6593, 0.3094, -0.6868]"
2012-11-27 17:48:23,"[0.5606, 0.3307, 0.0451, -0.3444, -0.5507]"
2012-11-27 17:55:32,"[-0.1626, 0.3636, 0.5372, -0.0308, -0.6836]"
2012-11-27 18:00:03,"[-0.5882, 0.1937, 0.8625, 0.4493, -0.8518]"
2012-11-28 01:19:37,"[-1.1073, -0.2205, 0.9709, 0.8786, -0.4054]"
2012-11-29 10:00:15,"[-0.735, -1.1833, -0.2571, 0.636, 1.2095]"
2012-12-02 21:12:03,"[-0.8044, -1.3456, -0.8613, 0.49, 2.1057]"
2012-12-04 04:40:56,"[-2.1252, -1.6731, -0.0618, 1.645, 1.6421]"
2012-12-05 05:20:41,"[-1.6284, -1.2296, 0.5784, 1.5464, 0.5733]"
2012-12-09 08:38:48,"[-0.0867, -0.6808, -0.6276, 0.1192, 1.0349]"
2012-12-09 23:13:23,"[-0.5286, -0.486, -0.1314, 0.3437, 0.4352]"
2012-12-11 02:54:30,"[-1.8334, -1.8694, -0.9587, 1.7248, 2.3326]"
2012-12-12 17:12:05,"[2.2032, 0.8642, -0.0819, -1.1854, -1.3907]"
2012-12-12 17:15:02,"[-1.4165, -0.6987, 0.5604, 0.9401, 0.3977]"
2012-12-12 17:27:15,"[0.1364, 0.8465, 0.9899, -0.0192, -1.6355]"
2012-12-12 17:35:07,"[0.3197, 0.6698, 0.5333, -0.3306, -1.1484]"
2012-12-12 17:40:48,"[-0.7621, -0.932, -0.1567, 0.6322, 1.0111]"
2012-12-12 17:44:27,"[-1.4906, -0.2483, 0.8708, 0.9642, -0.1672]"
2012-12-12 20:06:11,"[-1.8852, -1.8307, -0.3672, 1.3773, 2.174]"
2012-12-14 13:57:53,"[-0.7142, -0.2192, 0.3561, 0.5103, -0.0416]"
2012-12-14 14:21:17,"[0.7154, 0.4033, 0.2847, -0.3688, -0.9473]"
2012-12-14 14:42:47,"[-0.6579, -0.3755, -0.0623, 0.4057, 0.4545]"
2012-12-14 14:44:20,"[-0.1378, -0.5973, -0.1178, 0.1884, 0.4546]"
